Date,Price,Open,High,Low,Vol.,Volume,Change %
2016-08-04,"27,751.34","27,687.80","27,795.31","27,658.43",,#VALUE!,0.23%
2016-08-03,"27,687.80","27,831.95","27,840.55","27,687.17",,#VALUE!,-0.52%
2016-08-02,"27,831.95","27,843.00","28,006.15","27,757.96",,#VALUE!,-0.04%
2016-08-01,"27,843.00","28,009.93","28,040.45","27,802.49",,#VALUE!,-0.60%
2016-07-29,"28,009.93","28,057.91","28,130.08","28,003.61",,#VALUE!,-0.13%
2016-07-28,"28,046.96","28,205.62","28,207.06","28,040.68",,#VALUE!,-0.56%
2016-07-27,"28,205.62","27,945.02","28,263.02","27,945.02",,#VALUE!,0.93%
2016-07-26,"27,945.02","27,629.90","27,985.69","27,619.37",,#VALUE!,1.14%
2016-07-25,"27,629.90","27,659.44","27,693.10","27,449.64",,#VALUE!,-0.11%
2016-07-22,"27,659.44","27,997.29","28,078.29","27,659.44",,#VALUE!,-1.21%
2016-07-21,"27,997.29","28,221.18","28,223.24","27,990.26",,#VALUE!,-0.79%
2016-07-20,"28,221.18","28,488.56","28,489.57","28,201.38",,#VALUE!,-0.94%
2016-07-19,"28,488.56","28,733.90","28,739.38","28,472.53",,#VALUE!,-0.88%
2016-07-18,"28,740.24","28,805.45","28,875.74","28,681.21",,#VALUE!,-0.23%
2016-07-15,"28,805.45","28,703.09","28,855.18","28,702.55",,#VALUE!,0.36%
2016-07-14,"28,703.09","28,730.42","28,736.87","28,658.20",,#VALUE!,-0.10%
2016-07-13,"28,730.42","28,857.74","28,861.20","28,694.82",,#VALUE!,-0.44%
2016-07-12,"28,857.34","28,813.71","28,942.99","28,709.73",,#VALUE!,0.15%
2016-07-11,"28,813.51","28,854.98","28,890.50","28,598.46",,#VALUE!,-0.14%
2016-07-08,"28,854.98","29,002.26","29,041.12","28,828.74",,#VALUE!,-0.52%
2016-07-04,"29,005.33","29,305.40","29,332.39","28,980.61",,#VALUE!,-1.02%
2016-07-01,"29,305.40","29,597.79","29,601.05","29,259.39",,#VALUE!,-0.99%
2016-06-30,"29,597.79","29,812.91","29,846.67","29,580.93",,#VALUE!,-0.72%
2016-06-29,"29,812.91","29,575.24","29,868.23","29,529.95",,#VALUE!,0.80%
2016-06-28,"29,575.24","29,840.23","29,840.23","29,342.05",,#VALUE!,-0.90%
2016-06-27,"29,843.79","30,649.66","30,683.18","29,820.44",,#VALUE!,-2.63%
2016-06-24,"30,649.66","31,071.25","31,073.32","30,163.91",,#VALUE!,-1.36%
2016-06-23,"31,071.25","30,127.82","31,071.25","30,127.82",,#VALUE!,3.13%
2016-06-22,"30,127.82","29,422.71","30,134.68","29,422.71",,#VALUE!,2.40%
2016-06-21,"29,422.71","28,769.90","29,425.40","28,725.53",,#VALUE!,2.27%
2016-06-20,"28,769.90","29,247.27","29,355.21","28,752.98",,#VALUE!,-1.63%
2016-06-17,"29,247.27","28,489.89","29,271.57","28,489.89",,#VALUE!,2.66%
2016-06-16,"28,489.87","27,917.23","28,755.05","27,917.23",,#VALUE!,2.14%
2016-06-15,"27,891.96","27,034.05","27,891.96","27,034.05",,#VALUE!,3.17%
2016-06-14,"27,034.05","27,103.38","27,116.21","26,966.95",,#VALUE!,-0.26%
2016-06-13,"27,103.38","27,232.62","27,264.55","27,051.17",,#VALUE!,-0.47%
2016-06-10,"27,232.62","27,284.83","27,439.33","27,205.65",,#VALUE!,-0.19%
2016-06-09,"27,284.83","27,098.18","27,347.99","27,091.63",,#VALUE!,0.69%
2016-06-08,"27,098.18","27,475.48","27,496.62","27,090.25",,#VALUE!,-1.37%
2016-06-07,"27,475.48","27,585.06","27,585.06","27,440.42",,#VALUE!,-0.45%
2016-06-06,"27,599.48","27,634.42","27,716.10","27,488.88",,#VALUE!,-0.13%
2016-06-03,"27,634.48","27,183.64","27,660.83","27,181.82",,#VALUE!,1.66%
2016-06-02,"27,183.64","26,890.02","27,218.60","26,446.96",,#VALUE!,1.02%
2016-06-01,"26,910.23","27,663.16","27,663.16","26,893.58",,#VALUE!,-2.75%
2016-05-31,"27,671.08","28,902.25","28,907.56","27,657.31",,#VALUE!,-4.26%
2016-05-27,"28,902.25","28,877.47","29,125.78","28,877.47",,#VALUE!,0.09%
2016-05-26,"28,877.47","28,260.61","28,963.21","28,260.61",,#VALUE!,2.18%
2016-05-25,"28,260.61","27,231.50","28,261.65","27,231.50",,#VALUE!,3.78%
2016-05-24,"27,231.50","27,015.97","27,231.50","26,993.78",,#VALUE!,0.80%
2016-05-23,"27,015.97","27,116.45","27,116.45","26,832.75",,#VALUE!,-0.42%
2016-05-20,"27,129.41","27,028.24","27,155.15","27,008.06",,#VALUE!,0.37%
2016-05-19,"27,028.24","26,763.86","27,055.35","26,753.13",,#VALUE!,0.99%
2016-05-18,"26,763.86","26,655.48","26,771.74","26,570.02",,#VALUE!,0.41%
2016-05-17,"26,655.48","26,799.44","26,873.71","26,575.85",,#VALUE!,-0.61%
2016-05-16,"26,818.77","26,441.03","26,859.08","26,401.02",,#VALUE!,1.43%
2016-05-13,"26,441.03","25,865.06","26,673.11","25,865.06",,#VALUE!,2.23%
2016-05-12,"25,865.06","25,630.62","25,865.06","25,630.04",,#VALUE!,0.91%
2016-05-11,"25,630.62","25,646.56","25,714.07","25,601.15",,#VALUE!,-0.06%
2016-05-10,"25,646.84","25,828.30","25,876.49","25,612.34",,#VALUE!,-0.70%
2016-05-09,"25,828.30","25,701.60","25,898.82","25,701.60",,#VALUE!,0.49%
